bin,bin_lower,bin_upper,count,confidence,accuracy,gap,dataset,subject,method,method_label,source_file
6,0.6000000000000001,0.7000000000000001,7,0.6503156273842238,1.0,0.34968437261577623,BCI IIIa,l1b,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
7,0.7000000000000001,0.8,5,0.7191348586584234,1.0,0.2808651413415766,BCI IIIa,l1b,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
8,0.8,0.9,1,0.8499960899353027,1.0,0.15000391006469727,BCI IIIa,l1b,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
9,0.9,1.0,2,0.9677315517989971,1.0,0.03226844820100294,BCI IIIa,l1b,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
0,0.0,0.1,0,,,,BCI IIIa,k3b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
1,0.1,0.2,0,,,,BCI IIIa,k3b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
2,0.2,0.30000000000000004,0,,,,BCI IIIa,k3b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
3,0.30000000000000004,0.4,1,0.3399966758488618,1.0,0.6600033241511383,BCI IIIa,k3b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
4,0.4,0.5,1,0.4606993668673093,0.0,0.4606993668673093,BCI IIIa,k3b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
5,0.5,0.6000000000000001,2,0.5650814760791221,0.0,0.5650814760791221,BCI IIIa,k3b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
6,0.6000000000000001,0.7000000000000001,2,0.6612144559690751,1.0,0.33878554403092487,BCI IIIa,k3b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
7,0.7000000000000001,0.8,3,0.7415641437898058,0.6666666666666666,0.07489747712313921,BCI IIIa,k3b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
8,0.8,0.9,6,0.8415238510191484,0.5,0.3415238510191484,BCI IIIa,k3b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
9,0.9,1.0,48,0.988850791763582,0.9375,0.05135079176358204,BCI IIIa,k3b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
0,0.0,0.1,0,,,,BCI IIIa,k6b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
1,0.1,0.2,0,,,,BCI IIIa,k6b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
2,0.2,0.30000000000000004,0,,,,BCI IIIa,k6b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
3,0.30000000000000004,0.4,13,0.36815913494422947,0.5384615384615384,0.17030240351730896,BCI IIIa,k6b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
4,0.4,0.5,16,0.44649729702056085,0.625,0.17850270297943915,BCI IIIa,k6b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
5,0.5,0.6000000000000001,3,0.575969906968861,1.0,0.42403009303113903,BCI IIIa,k6b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
6,0.6000000000000001,0.7000000000000001,2,0.6485248437409845,1.0,0.3514751562590155,BCI IIIa,k6b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
7,0.7000000000000001,0.8,3,0.7446859513960944,1.0,0.2553140486039056,BCI IIIa,k6b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
8,0.8,0.9,1,0.8384057863831412,1.0,0.16159421361685877,BCI IIIa,k6b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
9,0.9,1.0,4,0.9614477699415201,1.0,0.03855223005847985,BCI IIIa,k6b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
0,0.0,0.1,0,,,,BCI IIIa,l1b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
1,0.1,0.2,0,,,,BCI IIIa,l1b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
2,0.2,0.30000000000000004,0,,,,BCI IIIa,l1b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
3,0.30000000000000004,0.4,4,0.35611441295950236,0.0,0.35611441295950236,BCI IIIa,l1b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
4,0.4,0.5,4,0.4559649046764477,0.5,0.04403509532355232,BCI IIIa,l1b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
5,0.5,0.6000000000000001,12,0.5445707125645693,0.6666666666666666,0.12209595410209728,BCI IIIa,l1b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
6,0.6000000000000001,0.7000000000000001,8,0.6247768767842277,0.625,0.00022312321577233618,BCI IIIa,l1b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
7,0.7000000000000001,0.8,8,0.743290555497355,0.75,0.00670944450264499,BCI IIIa,l1b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
8,0.8,0.9,3,0.8647923234891465,1.0,0.13520767651085353,BCI IIIa,l1b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
9,0.9,1.0,3,0.9603122110660708,1.0,0.03968778893392921,BCI IIIa,l1b,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
0,0.0,0.1,0,,,,BCI IIIa,k3b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
1,0.1,0.2,0,,,,BCI IIIa,k3b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
2,0.2,0.30000000000000004,0,,,,BCI IIIa,k3b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
3,0.30000000000000004,0.4,0,,,,BCI IIIa,k3b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
4,0.4,0.5,0,,,,BCI IIIa,k3b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
5,0.5,0.6000000000000001,1,0.5844434575103509,0.0,0.5844434575103509,BCI IIIa,k3b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
6,0.6000000000000001,0.7000000000000001,3,0.6273397904397543,0.3333333333333333,0.294006457106421,BCI IIIa,k3b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
7,0.7000000000000001,0.8,2,0.7303453289981845,0.0,0.7303453289981845,BCI IIIa,k3b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
8,0.8,0.9,3,0.8427967402701816,0.3333333333333333,0.5094634069368482,BCI IIIa,k3b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
9,0.9,1.0,54,0.9905151362951238,0.9444444444444444,0.04607069185067936,BCI IIIa,k3b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
0,0.0,0.1,0,,,,BCI IIIa,k6b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
1,0.1,0.2,0,,,,BCI IIIa,k6b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
2,0.2,0.30000000000000004,0,,,,BCI IIIa,k6b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
3,0.30000000000000004,0.4,18,0.36584640533124263,0.6111111111111112,0.24526470577986853,BCI IIIa,k6b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
4,0.4,0.5,8,0.4508429057190142,0.5,0.0491570942809858,BCI IIIa,k6b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
5,0.5,0.6000000000000001,3,0.5325593922787634,0.6666666666666666,0.13410727438790326,BCI IIIa,k6b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
6,0.6000000000000001,0.7000000000000001,3,0.6655256808370419,1.0,0.3344743191629581,BCI IIIa,k6b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
