dataset,subject,experiment_key,method_label,metric,baseline,candidate,delta
BCI IV-2a,4,augmentation,Augmentation,ECE,0.0850228790366982,0.0850938517325674,7.097269586919808e-05
BCI IV-2a,5,augmentation,Augmentation,ECE,0.0754264029178357,0.0754264029178357,0.0
BCI IV-2a,6,augmentation,Augmentation,ECE,0.1328965753895528,0.1328965753895528,0.0
BCI IV-2a,7,augmentation,Augmentation,ECE,0.1224114974977541,0.107278591654878,-0.01513290584287609
BCI IV-2a,8,augmentation,Augmentation,ECE,0.0575844901485496,0.0575844901485496,0.0
BCI IV-2a,9,augmentation,Augmentation,ECE,0.0818248603427216,0.061166427625463,-0.020658432717258597
BCI IV-2a,1,augmentation,Augmentation,NLL,0.4919925734201141,0.4960315583985417,0.004038984978427584
BCI IV-2a,2,augmentation,Augmentation,NLL,1.1320919104385088,1.1472177126802685,0.015125802241759745
BCI IV-2a,3,augmentation,Augmentation,NLL,0.2057017935856469,0.2057017935856469,0.0
BCI IV-2a,4,augmentation,Augmentation,NLL,0.7183599786637865,0.6830799244537441,-0.03528005421004243
BCI IV-2a,5,augmentation,Augmentation,NLL,1.0597107518295703,1.0597107518295703,0.0
BCI IV-2a,6,augmentation,Augmentation,NLL,1.1443077900814724,1.1443077900814724,0.0
BCI IV-2a,7,augmentation,Augmentation,NLL,0.7175349849904666,0.6464395619100166,-0.07109542308045003
BCI IV-2a,8,augmentation,Augmentation,NLL,0.5958342926754628,0.5958342926754628,0.0
BCI IV-2a,9,augmentation,Augmentation,NLL,0.5969126745237632,0.5185679059047669,-0.07834476861899631
BCI IV-2a,1,teacher_student_mixture,Teacher/student,Brier,0.2762477643368736,0.2442053926699256,-0.03204237166694798
BCI IV-2a,2,teacher_student_mixture,Teacher/student,Brier,0.6070387511967608,0.6091261686454659,0.002087417448705109
BCI IV-2a,3,teacher_student_mixture,Teacher/student,Brier,0.1163676299644283,0.1324323492712538,0.0160647193068255
BCI IV-2a,4,teacher_student_mixture,Teacher/student,Brier,0.4027517566367692,0.4027517566367692,0.0
BCI IV-2a,5,teacher_student_mixture,Teacher/student,Brier,0.573748379586127,0.5721773125576596,-0.0015710670284674322
BCI IV-2a,6,teacher_student_mixture,Teacher/student,Brier,0.6242246081218943,0.6189625585740739,-0.005262049547820391
BCI IV-2a,7,teacher_student_mixture,Teacher/student,Brier,0.4144500327575612,0.3382154094115219,-0.07623462334603931
BCI IV-2a,8,teacher_student_mixture,Teacher/student,Brier,0.2954858432919847,0.327596689712511,0.03211084642052631
BCI IV-2a,9,teacher_student_mixture,Teacher/student,Brier,0.332176542119649,0.3367590824568178,0.004582540337168817
BCI IV-2a,1,teacher_student_mixture,Teacher/student,accuracy,0.8020833333333334,0.8472222222222222,0.04513888888888884
BCI IV-2a,2,teacher_student_mixture,Teacher/student,accuracy,0.5208333333333334,0.5555555555555556,0.03472222222222221
BCI IV-2a,3,teacher_student_mixture,Teacher/student,accuracy,0.9201388888888888,0.9305555555555556,0.01041666666666674
BCI IV-2a,4,teacher_student_mixture,Teacher/student,accuracy,0.6840277777777778,0.6840277777777778,0.0
BCI IV-2a,5,teacher_student_mixture,Teacher/student,accuracy,0.5555555555555556,0.5555555555555556,0.0
BCI IV-2a,6,teacher_student_mixture,Teacher/student,accuracy,0.4861111111111111,0.4861111111111111,0.0
BCI IV-2a,7,teacher_student_mixture,Teacher/student,accuracy,0.71875,0.7465277777777778,0.02777777777777779
BCI IV-2a,8,teacher_student_mixture,Teacher/student,accuracy,0.8090277777777778,0.8020833333333334,-0.00694444444444442
BCI IV-2a,9,teacher_student_mixture,Teacher/student,accuracy,0.7689393939393939,0.7689393939393939,0.0
BCI IV-2a,1,teacher_student_mixture,Teacher/student,ECE,0.0517902093919036,0.0514603798116557,-0.0003298295802478951
BCI IV-2a,2,teacher_student_mixture,Teacher/student,ECE,0.0815611585910874,0.168027781658091,0.08646662306700362
BCI IV-2a,3,teacher_student_mixture,Teacher/student,ECE,0.0386793369228498,0.1178187425479235,0.07913940562507371
BCI IV-2a,4,teacher_student_mixture,Teacher/student,ECE,0.0850228790366982,0.0850228790366982,0.0
BCI IV-2a,5,teacher_student_mixture,Teacher/student,ECE,0.0754264029178357,0.0717304826495189,-0.0036959202683168046
BCI IV-2a,6,teacher_student_mixture,Teacher/student,ECE,0.1328965753895528,0.1201438500088265,-0.01275272538072629
BCI IV-2a,7,teacher_student_mixture,Teacher/student,ECE,0.1224114974977541,0.0595181442499472,-0.0628933532478069
BCI IV-2a,8,teacher_student_mixture,Teacher/student,ECE,0.0575844901485496,0.0969789637504743,0.0393944736019247
BCI IV-2a,9,teacher_student_mixture,Teacher/student,ECE,0.0818248603427216,0.0884495166287913,0.006624656286069702
BCI IV-2a,1,teacher_student_mixture,Teacher/student,NLL,0.4919925734201141,0.4390215825544652,-0.05297099086564888
BCI IV-2a,2,teacher_student_mixture,Teacher/student,NLL,1.1320919104385088,1.1271393948723094,-0.004952515566199356
BCI IV-2a,3,teacher_student_mixture,Teacher/student,NLL,0.2057017935856469,0.2869038677305446,0.08120207414489769
BCI IV-2a,4,teacher_student_mixture,Teacher/student,NLL,0.7183599786637865,0.7183599786637865,0.0
BCI IV-2a,5,teacher_student_mixture,Teacher/student,NLL,1.0597107518295703,1.057724543081502,-0.001986208748068208
BCI IV-2a,6,teacher_student_mixture,Teacher/student,NLL,1.1443077900814724,1.1310023332918426,-0.0133054567896298
BCI IV-2a,7,teacher_student_mixture,Teacher/student,NLL,0.7175349849904666,0.5638464121200987,-0.15368857287036797
BCI IV-2a,8,teacher_student_mixture,Teacher/student,NLL,0.5958342926754628,0.6400343444278378,0.04420005175237496
