dataset,dataset_label,subject,n_classes,experiment_key,experiment,val_accuracy,val_Brier,val_ECE,val_NLL,heldout_accuracy,heldout_Brier,heldout_ECE,heldout_NLL,chance_accuracy,chance_Brier,selection_split,eval_labels_used_for_selection,selected_method,mean_heldout_confidence,confidence_source_method,confidence_minus_accuracy,baseline_accuracy,baseline_Brier,baseline_ECE,baseline_NLL,delta_accuracy_vs_baseline,delta_Brier_vs_baseline,delta_ECE_vs_baseline,delta_NLL_vs_baseline,validation_Brier_rank,heldout_Brier_rank,heldout_minus_validation_Brier_rank
BNCI2014_001,BNCI2014_001,1,4,baseline,baseline_ce_cropped_shallow_convnet,0.7708333333333334,0.2945611560725316,0.1926164967380096,0.4419380243480498,0.8055555555555556,0.2691424310974397,0.0652607710843051,0.4897892994929562,0.25,0.75,external_validation,False,,0.8053585064972916,baseline,-0.00019704905826400942,0.8055555555555556,0.2691424310974397,0.0652607710843051,0.4897892994929562,0.0,0.0,0.0,0.0,5.0,4.0,-1.0
BNCI2014_001,BNCI2014_001,1,4,seed_ensemble,seed_ensemble,0.7708333333333334,0.2703738436465495,0.1227738570304967,0.4071799219229504,0.8125,0.2582311544230593,0.0680830001048939,0.4628184929788042,0.25,0.75,external_validation,False,,0.8247482621298301,seed_ensemble,0.012248262129830101,0.8055555555555556,0.2691424310974397,0.0652607710843051,0.4897892994929562,0.00694444444444442,-0.01091127667438041,0.002822229020588804,-0.026970806514152013,4.0,3.0,-1.0
BNCI2014_001,BNCI2014_001,1,4,teacher_student_mixture,teacher_student_probability_mixing,0.8541666666666666,0.2310128577047101,0.1534778643205112,0.3949445196531194,0.8298611111111112,0.2452899706012873,0.0820605889414675,0.4141083206586562,0.25,0.75,external_validation,False,,0.8002744469060494,teacher_student_mixture,-0.02958666420506173,0.8055555555555556,0.2691424310974397,0.0652607710843051,0.4897892994929562,0.02430555555555558,-0.02385246049615239,0.016799817857162405,-0.07568097883429997,1.0,1.0,0.0
BNCI2014_001,BNCI2014_001,1,4,augmentation,best_light_augmentation,0.8541666666666666,0.241378091819019,0.0997475660432077,0.3725480690848283,0.7708333333333334,0.3001589622718535,0.0776318749732234,0.5456028431770485,0.25,0.75,external_validation,False,,0.8421335749471053,augmentation,0.07130024161377191,0.8055555555555556,0.2691424310974397,0.0652607710843051,0.4897892994929562,-0.03472222222222221,0.03101653117441383,0.012371103888918294,0.05581354368409236,3.0,5.0,2.0
BNCI2014_001,BNCI2014_001,2,4,baseline,baseline_ce_cropped_shallow_convnet,0.5416666666666666,0.5174125709453589,0.1500661807948663,0.8992916306032036,0.4756944444444444,0.7021799019901737,0.1839904390450046,1.435960180040859,0.25,0.75,external_validation,False,,0.6483449782534892,baseline,0.17265053380904483,0.4756944444444444,0.7021799019901737,0.1839904390450046,1.435960180040859,0.0,0.0,0.0,0.0,5.0,3.0,-2.0
BNCI2014_001,BNCI2014_001,2,4,seed_ensemble,seed_ensemble,0.6041666666666666,0.487351923319484,0.2160212949321348,0.8457730003995647,0.46875,0.7015706039724898,0.1955039713759185,1.4395711678150107,0.25,0.75,external_validation,False,,0.662753073567404,seed_ensemble,0.19400307356740398,0.4756944444444444,0.7021799019901737,0.1839904390450046,1.435960180040859,-0.00694444444444442,-0.0006092980176838347,0.0115135323309139,0.003610987774151697,3.0,2.0,-1.0
BNCI2014_001,BNCI2014_001,2,4,teacher_student_mixture,teacher_student_probability_mixing,0.5833333333333334,0.4930936531596526,0.1416466019344241,0.85289365302277,0.4895833333333333,0.5997133819284657,0.0919968453748149,1.0724331582582314,0.25,0.75,external_validation,False,,0.5604896117562121,teacher_student_mixture,0.07090627842287883,0.4756944444444444,0.7021799019901737,0.1839904390450046,1.435960180040859,0.013888888888888895,-0.10246652006170798,-0.0919935936701897,-0.36352702178262764,4.0,1.0,-3.0
BNCI2014_001,BNCI2014_001,2,4,augmentation,best_light_augmentation,0.6041666666666666,0.4776538025871861,0.1947475325943179,0.8268972260272726,0.46875,0.7229830940289664,0.2249994872370071,1.5563424648145852,0.25,0.75,external_validation,False,,0.693749486534589,augmentation,0.224999486534589,0.4756944444444444,0.7021799019901737,0.1839904390450046,1.435960180040859,-0.00694444444444442,0.020803192038792773,0.04100904819200252,0.12038228477372614,1.0,4.0,3.0
BNCI2014_001,BNCI2014_001,3,4,baseline,baseline_ce_cropped_shallow_convnet,0.8333333333333334,0.2702830005718877,0.1541853047294421,0.5620110283295405,0.8645833333333334,0.1948154950753231,0.0715493142164599,0.3495514024075278,0.25,0.75,external_validation,False,,0.794909844099798,baseline,-0.06967348923353534,0.8645833333333334,0.1948154950753231,0.0715493142164599,0.3495514024075278,0.0,0.0,0.0,0.0,4.0,1.0,-3.0
BNCI2014_001,BNCI2014_001,3,4,seed_ensemble,seed_ensemble,0.7916666666666666,0.3128901371923877,0.1234156220320291,0.6655465361868822,0.8298611111111112,0.2399224152591025,0.0767486598158437,0.4189459793607991,0.25,0.75,external_validation,False,,0.7583354584771037,seed_ensemble,-0.07152565263400745,0.8645833333333334,0.1948154950753231,0.0715493142164599,0.3495514024075278,-0.03472222222222221,0.0451069201837794,0.005199345599383801,0.06939457695327128,5.0,5.0,0.0
BNCI2014_001,BNCI2014_001,3,4,teacher_student_mixture,teacher_student_probability_mixing,0.8333333333333334,0.2593726227960414,0.1357886714192032,0.4840246552974239,0.8402777777777778,0.2066741943446036,0.0465661723037969,0.3560423959187109,0.25,0.75,external_validation,False,,0.8249839470859829,teacher_student_mixture,-0.015293830691794907,0.8645833333333334,0.1948154950753231,0.0715493142164599,0.3495514024075278,-0.02430555555555558,0.011858699269280515,-0.024983141912662994,0.006490993511183096,1.0,2.0,1.0
BNCI2014_001,BNCI2014_001,3,4,augmentation,best_light_augmentation,0.875,0.2617886962240942,0.2006100362686122,0.5894866088749294,0.8263888888888888,0.2307368660102266,0.0587534172607952,0.4045667497852948,0.25,0.75,external_validation,False,,0.775354569780908,augmentation,-0.05103431910798084,0.8645833333333334,0.1948154950753231,0.0715493142164599,0.3495514024075278,-0.03819444444444453,0.035921370934903524,-0.012795896955664694,0.05501534737776698,3.0,4.0,1.0
BNCI2014_001,BNCI2014_001,4,4,baseline,baseline_ce_cropped_shallow_convnet,0.7291666666666666,0.4598432019859726,0.2576146805777096,0.808665894973939,0.6736111111111112,0.448055951942155,0.080038781405371,0.8095640151179806,0.25,0.75,external_validation,False,,0.684470472292649,baseline,0.010859361181537852,0.6736111111111112,0.448055951942155,0.080038781405371,0.8095640151179806,0.0,0.0,0.0,0.0,3.0,4.0,1.0
BNCI2014_001,BNCI2014_001,4,4,seed_ensemble,seed_ensemble,0.6458333333333334,0.4786210570940691,0.2058512180632589,0.806500980757418,0.6875,0.4330014029756274,0.0746980788214669,0.7820859476019173,0.25,0.75,external_validation,False,,0.6976122683793413,seed_ensemble,0.010112268379341316,0.6736111111111112,0.448055951942155,0.080038781405371,0.8095640151179806,0.01388888888888884,-0.015054548966527581,-0.005340702583904108,-0.027478067516063298,5.0,1.0,-4.0
BNCI2014_001,BNCI2014_001,4,4,teacher_student_mixture,teacher_student_probability_mixing,0.7291666666666666,0.4547849320231947,0.257623819000994,0.7992264408364013,0.6701388888888888,0.4431934876892827,0.0807300810906569,0.7940727855482113,0.25,0.75,external_validation,False,,0.6713769816969823,teacher_student_mixture,0.001238092808093505,0.6736111111111112,0.448055951942155,0.080038781405371,0.8095640151179806,-0.003472222222222321,-0.0048624642528722894,0.0006912996852858899,-0.015491229569769338,1.0,2.0,1.0
