dataset,n_subjects,n_methods,selection_correct_count,selection_correct_rate,mean_regret,median_regret,max_regret,mean_norm_regret,mean_spearman_rho,median_spearman_rho,frac_rho_negative,mean_norm_rank_shift
BCI IIIa,3,4,3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
BCI IV-2a,9,11,2,0.2222222222222222,0.03439586845363376,0.03693036664170091,0.0818920595559609,0.04586115793817834,0.2863599391757687,0.22374429223744294,0.1111111111111111,0.2727272727272727
BNCI2014_001,9,4,4,0.4444444444444444,0.035206161153164196,0.010192084713655292,0.1282120340485292,0.04694154820421893,0.10370370370370366,0.19999999999999998,0.4444444444444444,0.3888888888888889
BNCI2014_004,9,4,4,0.4444444444444444,0.010266629087969714,4.111564821380337e-05,0.07362978765203662,0.02053325817593943,0.13333333333333336,0.3333333333333334,0.4444444444444444,0.2962962962962963
