arm,n,draws,detection_rate,median_p,attainable_p_floor,floor_permits_alpha
CBraMod fine-tuned,20,4000,1.0,0.0001049041748046875,1.9073486328125e-06,True
CBraMod fine-tuned,21,4000,1.0,6.67572021484375e-05,9.5367431640625e-07,True
CBraMod fine-tuned,22,4000,1.0,4.76837158203125e-05,4.76837158203125e-07,True
CBraMod fine-tuned,23,4000,1.0,3.147125244140625e-05,2.384185791015625e-07,True
CBraMod fine-tuned,24,4000,1.0,2.014636993408203e-05,1.1920928955078125e-07,True
CBraMod fine-tuned,25,4000,1.0,1.3113021850585938e-05,5.960464477539063e-08,True
CBraMod fine-tuned,26,4000,1.0,8.165836334228516e-06,2.9802322387695312e-08,True
CBraMod fine-tuned,27,4000,1.0,5.245208740234375e-06,1.4901161193847656e-08,True
CBraMod fine-tuned,28,4000,1.0,3.330409526824951e-06,7.450580596923828e-09,True
CBraMod fine-tuned,29,4000,1.0,2.384185791015625e-06,3.725290298461914e-09,True
CBraMod fine-tuned,30,4000,1.0,1.6652047634124756e-06,1.862645149230957e-09,True
CBraMod fine-tuned,31,4000,1.0,9.98377799987793e-07,9.313225746154785e-10,True
CBraMod fine-tuned,32,4000,1.0,6.910413503646851e-07,4.656612873077393e-10,True
CBraMod fine-tuned,33,4000,1.0,4.186294972896576e-07,2.3283064365386963e-10,True
CBraMod fine-tuned,34,4000,1.0,2.764863893389702e-07,1.1641532182693481e-10,True
CBraMod fine-tuned,35,4000,1.0,2.0244624465703964e-07,5.820766091346741e-11,True
CBraMod fine-tuned,36,4000,1.0,1.2444797903299332e-07,2.9103830456733704e-11,True
CBraMod fine-tuned,37,4000,1.0,8.047209121286869e-08,1.4551915228366852e-11,True
CBraMod fine-tuned,38,4000,1.0,5.420588422566652e-08,7.275957614183426e-12,True
CBraMod fine-tuned,39,4000,1.0,3.456079866737127e-08,3.637978807091713e-12,True
CBraMod fine-tuned,40,4000,1.0,2.3377651814371347e-08,1.8189894035458565e-12,True
CBraMod fine-tuned,41,4000,1.0,1.5819750842638314e-08,9.094947017729282e-13,True
CBraMod fine-tuned,42,4000,1.0,1.0437361197546124e-08,4.547473508864641e-13,True
CBraMod fine-tuned,43,4000,1.0,6.897607818245888e-09,2.2737367544323206e-13,True
CBraMod fine-tuned,44,4000,1.0,4.527919372776523e-09,1.1368683772161603e-13,True
CBraMod fine-tuned,45,4000,1.0,2.954266165033914e-09,5.684341886080802e-14,True
CBraMod fine-tuned,46,4000,1.0,2.0265815692255273e-09,2.842170943040401e-14,True
CBraMod fine-tuned,47,4000,1.0,1.2362306733848527e-09,1.4210854715202004e-14,True
CBraMod fine-tuned,48,4000,1.0,8.973302101367153e-10,7.105427357601002e-15,True
CBraMod fine-tuned,49,4000,1.0,5.719016371585894e-10,3.552713678800501e-15,True
