fm,reference,metric,n,mean_left,mean_right,delta,wins,p_raw,p_floor,p_bh
cbramod_frozen_p2,atcnet_broadband_tuned,Brier,9,0.44761170312628373,0.22804953026123986,0.21956217286504387,0,0.00390625,0.00390625,0.01348458904109589
cbramod_frozen_p4,atcnet_broadband_tuned,Brier,9,0.4457190594509923,0.22804953026123986,0.2176695291897524,0,0.00390625,0.00390625,0.01348458904109589
cbramod_loso,atcnet_broadband_tuned,Brier,9,0.4704652723149526,0.22804953026123986,0.24241574205371277,0,0.00390625,0.00390625,0.01348458904109589
cbramod_loso,atcnet_narrowband_tuned,Brier,9,0.4704652723149526,0.26898096025464435,0.20148431206030828,0,0.00390625,0.00390625,0.01348458904109589
cbramod_loso,baseline,Brier,9,0.4704652723149526,0.27735861568361453,0.19310665663133816,0,0.00390625,0.00390625,0.01348458904109589
cbramod_loso,eegconformer_broadband_tuned,Brier,9,0.4704652723149526,0.2879461797698704,0.18251909254508225,0,0.00390625,0.00390625,0.01348458904109589
cbramod_loso,eegconformer_narrowband_tuned,Brier,9,0.4704652723149526,0.27250922129061456,0.1979560510243381,0,0.00390625,0.00390625,0.01348458904109589
cbramod_loso,seed_ensemble,Brier,9,0.4704652723149526,0.27857532431469606,0.19188994800025663,0,0.00390625,0.00390625,0.01348458904109589
cbramod_loso,shallow_convnet_broadband,Brier,9,0.4704652723149526,0.2503182060524931,0.22014706626245958,0,0.00390625,0.00390625,0.01348458904109589
cbramod_loso,shallow_convnet_broadband_tuned,Brier,9,0.4704652723149526,0.25255367835577136,0.21791159395918133,0,0.00390625,0.00390625,0.01348458904109589
cbramod_loso,shallow_convnet_narrowband_tuned,Brier,9,0.4704652723149526,0.2835705096305494,0.18689476268440328,0,0.00390625,0.00390625,0.01348458904109589
labram_frozen_p2,atcnet_broadband_tuned,Brier,9,0.492960444083143,0.22804953026123986,0.26491091382190324,0,0.00390625,0.00390625,0.01348458904109589
labram_frozen_p2,baseline,Brier,9,0.492960444083143,0.27735861568361453,0.21560182839952854,0,0.00390625,0.00390625,0.01348458904109589
labram_frozen_p2,seed_ensemble,Brier,9,0.492960444083143,0.27857532431469606,0.214385119768447,0,0.00390625,0.00390625,0.01348458904109589
labram_frozen_p2,shallow_convnet_broadband,Brier,9,0.492960444083143,0.2503182060524931,0.24264223803064994,0,0.00390625,0.00390625,0.01348458904109589
labram_frozen_p2,shallow_convnet_broadband_tuned,Brier,9,0.492960444083143,0.25255367835577136,0.2404067657273717,0,0.00390625,0.00390625,0.01348458904109589
labram_frozen_p2,shallow_convnet_narrowband_tuned,Brier,9,0.492960444083143,0.2835705096305494,0.20938993445259363,0,0.00390625,0.00390625,0.01348458904109589
labram_frozen_p4,atcnet_broadband_tuned,Brier,9,0.4818440678216109,0.22804953026123986,0.25379453756037096,0,0.00390625,0.00390625,0.01348458904109589
labram_frozen_p4,eegconformer_broadband_tuned,Brier,9,0.4818440678216109,0.2879461797698704,0.19389788805174046,0,0.00390625,0.00390625,0.01348458904109589
labram_frozen_p4,seed_ensemble,Brier,9,0.4818440678216109,0.27857532431469606,0.20326874350691485,0,0.00390625,0.00390625,0.01348458904109589
labram_frozen_p4,shallow_convnet_broadband,Brier,9,0.4818440678216109,0.2503182060524931,0.23152586176911777,0,0.00390625,0.00390625,0.01348458904109589
labram_frozen_p4,shallow_convnet_broadband_tuned,Brier,9,0.4818440678216109,0.25255367835577136,0.2292903894658395,0,0.00390625,0.00390625,0.01348458904109589
labram_frozen_p4,shallow_convnet_narrowband_tuned,Brier,9,0.4818440678216109,0.2835705096305494,0.19827355819106143,0,0.00390625,0.00390625,0.01348458904109589
labram_loso,atcnet_broadband_tuned,Brier,9,0.5018221839025769,0.22804953026123986,0.273772653641337,0,0.00390625,0.00390625,0.01348458904109589
labram_loso,baseline,Brier,9,0.5018221839025769,0.27735861568361453,0.22446356821896243,0,0.00390625,0.00390625,0.01348458904109589
labram_loso,seed_ensemble,Brier,9,0.5018221839025769,0.27857532431469606,0.22324685958788087,0,0.00390625,0.00390625,0.01348458904109589
labram_loso,shallow_convnet_broadband,Brier,9,0.5018221839025769,0.2503182060524931,0.2515039778500838,0,0.00390625,0.00390625,0.01348458904109589
