config,n,val_Brier,heldout_Brier,heldout_acc
cbramod_finetune_lee_default,3,0.3448454479273484,0.4025513381275574,0.6716666666666665
cbramod_finetune_lee_lr1e5,3,0.40157762046264,0.41962566294221776,0.6283333333333333
cbramod_finetune_lee_frz10_lr1e4,3,0.42288455297372374,0.4020732267334784,0.6150000000000001
cbramod_finetune_default,3,0.602323806609052,0.6583100128461551,0.47453703703703703
cbramod_finetune_frz10_lr1e4,3,0.6833457734143472,0.6836328446121364,0.40972222222222215
labram_finetune_frz10_lr1e4,3,0.6927560504665037,0.7132778195480248,0.36111111111111116
labram_finetune_headonly,3,0.7168894568824643,0.7386458238647874,0.3287037037037037
labram_finetune_frz10_lr1e5,3,0.7222144504465441,0.727079908516228,0.33101851851851855
labram_finetune_lpft_lr1e4,3,0.7232462717507846,0.7254906832528616,0.3391203703703704
labram_finetune_lr1e5,3,0.7302707535278171,0.7301689172028835,0.3229166666666667
labram_finetune_lr1e4,3,0.7389583153939235,0.739602201046024,0.3055555555555555
cbramod_finetune_lr1e5,3,0.7482167055313859,0.7447320595886997,0.3148148148148148
