fm,reference,metric,n,mean_left,mean_right,delta,wins,p_raw,p_floor,p_bh
cbramod_finetune_sel,atcnet_broadband_tuned,Brier,9,0.649258199208129,0.4695029798806498,0.17975521932747915,0,0.00390625,0.00390625,0.009963768115942028
cbramod_frozen_p2,atcnet_broadband_tuned,Brier,9,0.7079814206092228,0.4695029798806498,0.23847844072857288,0,0.00390625,0.00390625,0.009963768115942028
cbramod_frozen_p2,baseline,Brier,9,0.7079814206092228,0.40472125644578316,0.30326016416343965,0,0.00390625,0.00390625,0.009963768115942028
cbramod_frozen_p2,seed_ensemble,Brier,9,0.7079814206092228,0.38519287999438295,0.3227885406148398,0,0.00390625,0.00390625,0.009963768115942028
cbramod_frozen_p2,shallow_convnet_broadband_ica_tuned,Brier,9,0.7079814206092228,0.4715747865699655,0.2364066340392572,0,0.00390625,0.00390625,0.009963768115942028
cbramod_frozen_p4,atcnet_broadband_tuned,Brier,9,0.7293433980050197,0.4695029798806498,0.2598404181243698,0,0.00390625,0.00390625,0.009963768115942028
cbramod_frozen_p4,baseline,Brier,9,0.7293433980050197,0.40472125644578316,0.3246221415592366,0,0.00390625,0.00390625,0.009963768115942028
cbramod_frozen_p4,seed_ensemble,Brier,9,0.7293433980050197,0.38519287999438295,0.34415051801063673,0,0.00390625,0.00390625,0.009963768115942028
cbramod_frozen_p4,shallow_convnet_broadband_ica_tuned,Brier,9,0.7293433980050197,0.4715747865699655,0.25776861143505414,0,0.00390625,0.00390625,0.009963768115942028
cbramod_frozen_p4,shallow_convnet_broadband_tuned,Brier,9,0.7293433980050197,0.5060592205940803,0.22328417741093942,0,0.00390625,0.00390625,0.009963768115942028
cbramod_loso,atcnet_broadband_tuned,Brier,9,0.7180968247854236,0.4695029798806498,0.24859384490477365,0,0.00390625,0.00390625,0.009963768115942028
cbramod_loso,baseline,Brier,9,0.7180968247854236,0.40472125644578316,0.31337556833964036,0,0.00390625,0.00390625,0.009963768115942028
cbramod_loso,seed_ensemble,Brier,9,0.7180968247854236,0.38519287999438295,0.3329039447910406,0,0.00390625,0.00390625,0.009963768115942028
cbramod_loso,shallow_convnet_broadband_ica_tuned,Brier,9,0.7180968247854236,0.4715747865699655,0.24652203821545804,0,0.00390625,0.00390625,0.009963768115942028
labram_finetune_sel,atcnet_broadband_tuned,Brier,9,0.7323514279289522,0.4695029798806498,0.26284844804830243,0,0.00390625,0.00390625,0.009963768115942028
labram_finetune_sel,atcnet_narrowband_retune_tuned,Brier,9,0.7323514279289522,0.5408544510329671,0.1914969768959852,0,0.00390625,0.00390625,0.009963768115942028
labram_finetune_sel,atcnet_narrowband_tuned,Brier,9,0.7323514279289522,0.551639145011202,0.1807122829177502,0,0.00390625,0.00390625,0.009963768115942028
labram_finetune_sel,baseline,Brier,9,0.7323514279289522,0.40472125644578316,0.32763017148316914,0,0.00390625,0.00390625,0.009963768115942028
labram_finetune_sel,seed_ensemble,Brier,9,0.7323514279289522,0.38519287999438295,0.3471585479345693,0,0.00390625,0.00390625,0.009963768115942028
labram_finetune_sel,shallow_convnet_broadband_ica_tuned,Brier,9,0.7323514279289522,0.4715747865699655,0.26077664135898676,0,0.00390625,0.00390625,0.009963768115942028
labram_finetune_sel,shallow_convnet_broadband_tuned,Brier,9,0.7323514279289522,0.5060592205940803,0.22629220733487207,0,0.00390625,0.00390625,0.009963768115942028
labram_frozen_p2,atcnet_broadband_tuned,Brier,9,0.7322879363977352,0.4695029798806498,0.2627849565170852,0,0.00390625,0.00390625,0.009963768115942028
