experiment_key,role,recipe,n,acc,Brier,ECE,NLL
cbramod_loso,foundation model,,54,0.7224074074074074,0.3670656015772946,0.10548368461138573,0.5458789111546316
cbramod_finetune_sel,foundation model,,54,0.6792592592592592,0.3991812744094307,0.11536584917031456,0.7265392523229961
cbramod_loso_randinit,random-init control,,54,0.653888888888889,0.421242859036015,0.11935107222204852,0.6070507485190823
cbramod_frozen,foundation model,,54,0.6037962962962963,0.46080511146186853,0.11917124584166325,0.6646261027265356
cbramod_finetune_randinit_sel,random-init control,,54,0.5932407407407406,0.49707791623071607,0.15949747130240471,0.7815922831694095
cbramod_frozen_randinit,random-init control,,54,0.5599074074074074,0.48551068447950535,0.12296231310462344,0.6845015250223737
labram_finetune_sel,foundation model,,54,0.5315740740740741,0.5109974422098912,0.1397103747095571,0.719548648532956
labram_finetune_randinit_sel,random-init control,,54,0.5147222222222223,0.514830785444781,0.1292027248233215,0.7193463897705847
labram_frozen,foundation model,,54,0.5108333333333334,0.5097054459977568,0.12604477694916694,0.7070116227767188
labram_frozen_randinit,random-init control,,54,0.5092592592592593,0.5106818333472993,0.12806303776581066,0.7074871670533606
