dataset,arch,variant,baseline_narrowband,baseline_broadband,foundation_model,n,acc_narrowband,acc_broadband,acc_fm,total_gap,band_gap,model_gap,pipeline_effect,band_share,model_share,band_p_raw,model_p_raw,band_wins,model_wins,p_floor,shares_meaningful,band_p_bh,model_p_bh
bci4_2a,shallow_convnet,base,shallow_convnet_narrowband_tuned,shallow_convnet_broadband_tuned,labram_frozen_p4,9,0.6452721661054994,0.6084104938271605,0.3167438271604938,0.3285283389450056,0.03686167227833895,0.2916666666666667,costs,0.1122024127255258,0.8877975872744743,0.25,0.00390625,5/9,9/9,0.00390625,True,0.30405405405405406,0.01171875
bci4_2a,shallow_convnet,base,shallow_convnet_narrowband_tuned,shallow_convnet_broadband_tuned,labram_frozen_p2,9,0.6452721661054994,0.6084104938271605,0.33217592592592593,0.3130962401795735,0.03686167227833895,0.2762345679012345,costs,0.11773272095888877,0.8822672790411111,0.25,0.00390625,5/9,9/9,0.00390625,True,0.30405405405405406,0.01171875
bci4_2a,shallow_convnet,base,shallow_convnet_narrowband_tuned,shallow_convnet_broadband_tuned,cbramod_frozen_p4,9,0.6452721661054994,0.6084104938271605,0.34336419753086417,0.30190796857463525,0.03686167227833895,0.2650462962962963,costs,0.1220957249070632,0.8779042750929367,0.25,0.0078125,5/9,8/9,0.00390625,True,0.30405405405405406,0.01953125
bci4_2a,shallow_convnet,base,shallow_convnet_narrowband_tuned,shallow_convnet_broadband_tuned,cbramod_loso,9,0.6452721661054994,0.6084104938271605,0.3865740740740741,0.2586980920314253,0.03686167227833895,0.22183641975308643,costs,0.14248915401301523,0.8575108459869851,0.25,0.0078125,5/9,8/9,0.00390625,True,0.30405405405405406,0.01953125
bci4_2a,shallow_convnet,base,shallow_convnet_narrowband_tuned,shallow_convnet_broadband_tuned,cbramod_frozen_p2,9,0.6452721661054994,0.6084104938271605,0.3927469135802469,0.25252525252525254,0.03686167227833895,0.21566358024691357,costs,0.14597222222222223,0.8540277777777777,0.25,0.01953125,5/9,7/9,0.00390625,True,0.30405405405405406,0.0439453125
bci4_2a,shallow_convnet,base,shallow_convnet_narrowband_tuned,shallow_convnet_broadband_tuned,cbramod_finetune_sel,9,0.6452721661054994,0.6084104938271605,0.47955246913580246,0.16571969696969693,0.03686167227833895,0.12885802469135801,costs,0.22243386243386248,0.7775661375661377,0.25,0.09765625,5/9,8/9,0.00390625,True,0.30405405405405406,0.15419407894736842
bnci2014_004,atcnet,base,atcnet_narrowband_tuned,atcnet_broadband_tuned,labram_loso,9,0.7970238095238096,0.8457837301587302,0.5358630952380952,0.2611607142857143,-0.048759920634920614,0.30992063492063493,helps,-0.18670465337131995,1.18670465337132,0.65234375,0.00390625,4/9,9/9,0.00390625,True,0.6671697443181818,0.01171875
bnci2014_004,atcnet,base,atcnet_narrowband_tuned,atcnet_broadband_tuned,labram_frozen_p2,9,0.7970238095238096,0.8457837301587302,0.5453373015873015,0.251686507936508,-0.048759920634920614,0.30044642857142856,helps,-0.19373275522270386,1.1937327552227037,0.65234375,0.00390625,4/9,9/9,0.00390625,True,0.6671697443181818,0.01171875
bnci2014_004,atcnet,base,atcnet_narrowband_tuned,atcnet_broadband_tuned,labram_frozen_p4,9,0.7970238095238096,0.8457837301587302,0.5476190476190477,0.24940476190476188,-0.048759920634920614,0.29816468253968254,helps,-0.19550517104216383,1.195505171042164,0.65234375,0.00390625,4/9,9/9,0.00390625,True,0.6671697443181818,0.01171875
bnci2014_004,atcnet,base,atcnet_narrowband_tuned,atcnet_broadband_tuned,cbramod_loso,9,0.7970238095238096,0.8457837301587302,0.6020833333333333,0.19494047619047616,-0.048759920634920614,0.24370039682539682,helps,-0.25012722646310426,1.2501272264631045,0.65234375,0.00390625,4/9,9/9,0.00390625,True,0.6671697443181818,0.01171875
