dataset,subject,method,method_label,target_coverage,threshold,threshold_source,threshold_selection_split,eval_labels_used_for_threshold,heldout_curve_type,val_coverage,val_selective_accuracy,val_risk,heldout_coverage,heldout_selective_accuracy,heldout_risk,heldout_n_covered,heldout_accuracy_all,mean_val_confidence,mean_heldout_confidence,source_file
BCI IIIa,k3b,teacher_student_mixture,Teacher/student,0.8,0.9552281298986511,validation_confidence_quantile,validation,False,validation_selected_threshold,0.7916666666666666,1.0,0.0,0.6825396825396826,0.9767441860465116,0.023255813953488372,43,0.8412698412698413,0.9602472109517338,0.9141104524199196,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
BCI IIIa,k3b,teacher_student_mixture,Teacher/student,0.9,0.8942703744982058,validation_confidence_quantile,validation,False,validation_selected_threshold,0.875,1.0,0.0,0.7619047619047619,0.9375,0.0625,48,0.8412698412698413,0.9602472109517338,0.9141104524199196,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
BCI IIIa,k3b,validation_selected_portfolio,Portfolio,0.4,0.9999999998958966,validation_confidence_quantile,validation,False,validation_selected_threshold,0.375,1.0,0.0,0.30158730158730157,1.0,0.0,19,0.873015873015873,0.9803273613644855,0.9728819266644708,results/paper_calibration_stats/validation_selected_portfolio/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
BCI IIIa,k3b,validation_selected_portfolio,Portfolio,0.6,0.999999958971432,validation_confidence_quantile,validation,False,validation_selected_threshold,0.5833333333333334,1.0,0.0,0.5238095238095238,1.0,0.0,33,0.873015873015873,0.9803273613644855,0.9728819266644708,results/paper_calibration_stats/validation_selected_portfolio/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
BCI IIIa,k3b,validation_selected_portfolio,Portfolio,0.8,0.9999171111395005,validation_confidence_quantile,validation,False,validation_selected_threshold,0.7916666666666666,1.0,0.0,0.7142857142857143,0.9333333333333333,0.06666666666666667,45,0.873015873015873,0.9803273613644855,0.9728819266644708,results/paper_calibration_stats/validation_selected_portfolio/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
BCI IIIa,k3b,validation_selected_portfolio,Portfolio,0.9,0.9972583169270437,validation_confidence_quantile,validation,False,validation_selected_threshold,0.875,1.0,0.0,0.8095238095238095,0.9215686274509803,0.0784313725490196,51,0.873015873015873,0.9803273613644855,0.9728819266644708,results/paper_calibration_stats/validation_selected_portfolio/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
BCI IIIa,k6b,augmentation,Augmentation,0.4,0.6261060379287893,validation_confidence_quantile,validation,False,validation_selected_threshold,0.375,0.8333333333333334,0.16666666666666666,0.40476190476190477,0.9411764705882353,0.058823529411764705,17,0.6904761904761905,0.5798301347076005,0.6226397721069167,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
BCI IIIa,k6b,augmentation,Augmentation,0.6,0.5201897005729761,validation_confidence_quantile,validation,False,validation_selected_threshold,0.5625,0.5555555555555556,0.4444444444444444,0.5714285714285714,0.875,0.125,24,0.6904761904761905,0.5798301347076005,0.6226397721069167,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
BCI IIIa,k6b,augmentation,Augmentation,0.8,0.4621730446815491,validation_confidence_quantile,validation,False,validation_selected_threshold,0.75,0.5,0.5,0.6428571428571429,0.8148148148148148,0.18518518518518517,27,0.6904761904761905,0.5798301347076005,0.6226397721069167,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
BCI IIIa,k6b,augmentation,Augmentation,0.9,0.41703868067651495,validation_confidence_quantile,validation,False,validation_selected_threshold,0.875,0.5714285714285714,0.42857142857142855,0.8333333333333334,0.7714285714285715,0.22857142857142856,35,0.6904761904761905,0.5798301347076005,0.6226397721069167,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
