dataset,method,n_subjects,conf_shift,val_conf_mean,eval_conf_mean,eval_coverage@0.4,eval_coverage@0.6,eval_coverage@0.8,eval_coverage@0.9
BNCI2014_001,teacher_student_mixture,9,0.000944577582916353,0.6262444893795032,0.6271890669624195,0.40316358024691357,0.5733024691358025,0.7719907407407408,0.873070987654321
BNCI2014_001,augmentation,9,0.011734882484615591,0.6600389612355717,0.6717738437201874,0.44483024691358025,0.597608024691358,0.7719907407407408,0.8834876543209877
BNCI2014_001,baseline,9,0.014792465248409627,0.6433292783934761,0.6581217436418858,0.4741512345679012,0.6180555555555556,0.7777777777777778,0.8757716049382717
BNCI2014_001,seed_ensemble,9,0.019211496973847147,0.6530122461694259,0.6722237431432729,0.4436728395061728,0.6153549382716049,0.7901234567901234,0.876929012345679
BNCI2014_004,baseline,9,-0.004486439977255137,0.8044440715263287,0.7999576315490736,0.40069444444444446,0.5791666666666667,0.7735119047619048,0.8708829365079365
BNCI2014_004,teacher_student_mixture,9,-0.0036138699286513637,0.7976208163632287,0.7940069464345773,0.4079861111111111,0.59375,0.7641369047619047,0.8635912698412699
BNCI2014_004,augmentation,9,-0.0017045847657653798,0.8076296092735397,0.8059250245077743,0.40699404761904767,0.5885416666666666,0.7794642857142856,0.8755952380952381
BNCI2014_004,seed_ensemble,9,5.584965563481475e-05,0.8035790159470505,0.8036348656026854,0.40168650793650795,0.5700892857142857,0.7765376984126984,0.8714285714285714
bci4_2a,mdrm_t_ea,1,-0.2396786239076677,0.7259623367210915,0.48628371281342375,0.0,0.006944444444444444,0.13541666666666666,0.2326388888888889
bci4_2a,stronger_teacher,9,-0.05220918957390085,0.6095205280352761,0.5573113384613753,0.40625,0.496597923681257,0.6183361391694725,0.7187149270482603
bci4_2a,teacher_student_mixture,9,-0.02745388069790005,0.7046987511478588,0.6772448704499587,0.2935255331088664,0.4679783950617284,0.6846941638608306,0.8263888888888888
bci4_2a,architecture,9,-0.0009387925335784129,0.7757885617779524,0.774849769244374,0.3967452300785634,0.5683922558922558,0.7576459034792369,0.8819444444444444
bci4_2a,ea_seed_ensemble,1,0.00028834260029575454,0.6213831243843868,0.6216714669846826,0.4513888888888889,0.5347222222222222,0.75,0.90625
bci4_2a,calibration_checkpoint,9,0.0020424546383951293,0.7161436871216149,0.71818614176001,0.3869949494949495,0.5764590347923682,0.7889309764309764,0.8767185746352414
bci4_2a,calibration_grid,9,0.0038160913249549364,0.7153936630358576,0.7192097543608126,0.4060044893378227,0.6038860830527497,0.7982603815937149,0.8694234006734007
bci4_2a,crop_aggregation,9,0.004075827711357011,0.7309819611353208,0.7350577888466777,0.3995510662177329,0.5957491582491582,0.7971731200897867,0.8878367003367003
bci4_2a,brier_loss,9,0.004894895689658261,0.7294793124603781,0.7343742081500364,0.40137485970819303,0.5881383277216611,0.7912808641975309,0.8901865881032547
bci4_2a,swa_ema,9,0.005477229485231673,0.7178441887822351,0.7233214182674668,0.4212612233445567,0.5864197530864197,0.7903689674523008,0.9045664983164983
bci4_2a,baseline,9,0.005707777044324499,0.7058892147694795,0.7115969918138041,0.4091769972451791,0.5948117539026629,0.7960858585858586,0.8934228650137741
bci4_2a,seed_ensemble,9,0.012855212733541546,0.7444397207955128,0.7572949335290544,0.4221380471380471,0.619212962962963,0.7740600448933782,0.8793841189674523
bci4_2a,augmentation,9,0.014561470392201003,0.7437210827291044,0.7582825531213054,0.43546576879910215,0.6045173961840629,0.8034862514029181,0.8928170594837262
bci_iiia,augmentation,3,-0.009645052234489452,0.7338806212776237,0.7242355690431342,0.3386243386243386,0.48677248677248675,0.6746031746031745,0.8174603174603176
bci_iiia,baseline,3,-0.0038915043943143304,0.6922848837243186,0.6883933793300043,0.3862433862433862,0.5502645502645502,0.7407407407407408,0.8518518518518517
bci_iiia,seed_ensemble,3,0.0032656877326271427,0.7022494586805502,0.7055151464131774,0.3941798941798942,0.5238095238095238,0.7142857142857143,0.8571428571428571
bci_iiia,teacher_student_mixture,3,0.00785683468969726,0.6849506913373867,0.692807526027084,0.4259259259259259,0.6216931216931217,0.775132275132275,0.8412698412698413
