dataset,seed,pretrained,random,delta,wins,p_raw
bci4_2a,42,0.47955246913580246,0.34066358024691357,0.1388888888888889,8/9,0.0078125
bci4_2a,43,0.4625771604938272,0.33024691358024694,0.13233024691358022,8/9,0.0078125
bci4_2a,44,0.4695216049382716,0.3391203703703704,0.13040123456790123,9/9,0.00390625
bnci2014_004,42,0.8084821428571429,0.7014384920634922,0.1070436507936508,8/9,0.0078125
bnci2014_004,43,0.8111111111111111,0.7000496031746032,0.11106150793650793,8/9,0.01171875
bnci2014_004,44,0.8091765873015873,0.7012400793650794,0.10793650793650794,9/9,0.00390625
